=================================================================================================
                                              Kernel Shape      Output Shape  \
68_l2.tcn1.branches.1.ReLU_2                             -   [2, 16, 64, 25]   
69_l2.tcn1.branches.1.3.Conv2d_conv         [16, 16, 5, 1]   [2, 16, 64, 25]   
70_l2.tcn1.branches.1.3.BatchNorm2d_bn                [16]   [2, 16, 64, 25]   
71_l2.tcn1.branches.2.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
72_l2.tcn1.branches.2.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
73_l2.tcn1.branches.2.ReLU_2                             -   [2, 16, 64, 25]   
74_l2.tcn1.branches.2.MaxPool2d_3                        -   [2, 16, 64, 25]   
75_l2.tcn1.branches.2.BatchNorm2d_4                   [16]   [2, 16, 64, 25]   
76_l2.tcn1.branches.3.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
77_l2.tcn1.branches.3.BatchNorm2d_1                   [16]   [2, 16, 64, 25]   
78_l2.ReLU_relu                                          -   [2, 64, 64, 25]   
79_l3.gcn1.convs.0.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
80_l3.gcn1.convs.0.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
81_l3.gcn1.convs.0.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
82_l3.gcn1.convs.0.Softmax_softmax                       -      [16, 25, 25]   
83_l3.gcn1.convs.0.Tanh_tanh                             -    [2, 8, 25, 25]   
84_l3.gcn1.convs.0.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
85_l3.gcn1.convs.1.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
86_l3.gcn1.convs.1.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
87_l3.gcn1.convs.1.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
88_l3.gcn1.convs.1.Softmax_softmax                       -      [16, 25, 25]   
89_l3.gcn1.convs.1.Tanh_tanh                             -    [2, 8, 25, 25]   
90_l3.gcn1.convs.1.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
91_l3.gcn1.convs.2.Conv2d_conv1              [64, 8, 1, 1]    [2, 8, 64, 25]   
92_l3.gcn1.convs.2.Conv2d_conv2              [64, 8, 1, 1]    [2, 8, 64, 25]   
93_l3.gcn1.convs.2.Conv2d_conv3             [64, 64, 1, 1]   [2, 64, 64, 25]   
94_l3.gcn1.convs.2.Softmax_softmax                       -      [16, 25, 25]   
95_l3.gcn1.convs.2.Tanh_tanh                             -    [2, 8, 25, 25]   
96_l3.gcn1.convs.2.Conv2d_conv4              [8, 64, 1, 1]   [2, 64, 25, 25]   
97_l3.gcn1.BatchNorm2d_bn                             [64]   [2, 64, 64, 25]   
98_l3.gcn1.ReLU_relu                                     -   [2, 64, 64, 25]   
99_l3.tcn1.branches.0.Conv2d_0              [64, 16, 1, 1]   [2, 16, 64, 25]   
100_l3.tcn1.branches.0.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
101_l3.tcn1.branches.0.ReLU_2                            -   [2, 16, 64, 25]   
102_l3.tcn1.branches.0.3.Conv2d_conv        [16, 16, 5, 1]   [2, 16, 64, 25]   
103_l3.tcn1.branches.0.3.BatchNorm2d_bn               [16]   [2, 16, 64, 25]   
104_l3.tcn1.branches.1.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
105_l3.tcn1.branches.1.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
106_l3.tcn1.branches.1.ReLU_2                            -   [2, 16, 64, 25]   
107_l3.tcn1.branches.1.3.Conv2d_conv        [16, 16, 5, 1]   [2, 16, 64, 25]   
108_l3.tcn1.branches.1.3.BatchNorm2d_bn               [16]   [2, 16, 64, 25]   
109_l3.tcn1.branches.2.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
110_l3.tcn1.branches.2.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
111_l3.tcn1.branches.2.ReLU_2                            -   [2, 16, 64, 25]   
112_l3.tcn1.branches.2.MaxPool2d_3                       -   [2, 16, 64, 25]   
113_l3.tcn1.branches.2.BatchNorm2d_4                  [16]   [2, 16, 64, 25]   
114_l3.tcn1.branches.3.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
115_l3.tcn1.branches.3.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
116_l3.ReLU_relu                                         -   [2, 64, 64, 25]   
117_l4.gcn1.convs.0.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
118_l4.gcn1.convs.0.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
119_l4.gcn1.convs.0.Conv2d_conv3            [64, 64, 1, 1]   [2, 64, 64, 25]   
120_l4.gcn1.convs.0.Softmax_softmax                      -      [16, 25, 25]   
121_l4.gcn1.convs.0.Tanh_tanh                            -    [2, 8, 25, 25]   
122_l4.gcn1.convs.0.Conv2d_conv4             [8, 64, 1, 1]   [2, 64, 25, 25]   
123_l4.gcn1.convs.1.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
124_l4.gcn1.convs.1.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
125_l4.gcn1.convs.1.Conv2d_conv3            [64, 64, 1, 1]   [2, 64, 64, 25]   
126_l4.gcn1.convs.1.Softmax_softmax                      -      [16, 25, 25]   
127_l4.gcn1.convs.1.Tanh_tanh                            -    [2, 8, 25, 25]   
128_l4.gcn1.convs.1.Conv2d_conv4             [8, 64, 1, 1]   [2, 64, 25, 25]   
129_l4.gcn1.convs.2.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
130_l4.gcn1.convs.2.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
131_l4.gcn1.convs.2.Conv2d_conv3            [64, 64, 1, 1]   [2, 64, 64, 25]   
132_l4.gcn1.convs.2.Softmax_softmax                      -      [16, 25, 25]   
133_l4.gcn1.convs.2.Tanh_tanh                            -    [2, 8, 25, 25]   
134_l4.gcn1.convs.2.Conv2d_conv4             [8, 64, 1, 1]   [2, 64, 25, 25]   
135_l4.gcn1.BatchNorm2d_bn                            [64]   [2, 64, 64, 25]   
136_l4.gcn1.ReLU_relu                                    -   [2, 64, 64, 25]   
137_l4.tcn1.branches.0.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
138_l4.tcn1.branches.0.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
139_l4.tcn1.branches.0.ReLU_2                            -   [2, 16, 64, 25]   
140_l4.tcn1.branches.0.3.Conv2d_conv        [16, 16, 5, 1]   [2, 16, 64, 25]   
141_l4.tcn1.branches.0.3.BatchNorm2d_bn               [16]   [2, 16, 64, 25]   
142_l4.tcn1.branches.1.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
143_l4.tcn1.branches.1.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
144_l4.tcn1.branches.1.ReLU_2                            -   [2, 16, 64, 25]   
145_l4.tcn1.branches.1.3.Conv2d_conv        [16, 16, 5, 1]   [2, 16, 64, 25]   
146_l4.tcn1.branches.1.3.BatchNorm2d_bn               [16]   [2, 16, 64, 25]   
147_l4.tcn1.branches.2.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
148_l4.tcn1.branches.2.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
149_l4.tcn1.branches.2.ReLU_2                            -   [2, 16, 64, 25]   
150_l4.tcn1.branches.2.MaxPool2d_3                       -   [2, 16, 64, 25]   
151_l4.tcn1.branches.2.BatchNorm2d_4                  [16]   [2, 16, 64, 25]   
152_l4.tcn1.branches.3.Conv2d_0             [64, 16, 1, 1]   [2, 16, 64, 25]   
153_l4.tcn1.branches.3.BatchNorm2d_1                  [16]   [2, 16, 64, 25]   
154_l4.ReLU_relu                                         -   [2, 64, 64, 25]   
155_l5.gcn1.convs.0.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
156_l5.gcn1.convs.0.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
157_l5.gcn1.convs.0.Conv2d_conv3           [64, 128, 1, 1]  [2, 128, 64, 25]   
158_l5.gcn1.convs.0.Softmax_softmax                      -      [16, 25, 25]   
159_l5.gcn1.convs.0.Tanh_tanh                            -    [2, 8, 25, 25]   
160_l5.gcn1.convs.0.Conv2d_conv4            [8, 128, 1, 1]  [2, 128, 25, 25]   
161_l5.gcn1.convs.1.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
162_l5.gcn1.convs.1.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
163_l5.gcn1.convs.1.Conv2d_conv3           [64, 128, 1, 1]  [2, 128, 64, 25]   
164_l5.gcn1.convs.1.Softmax_softmax                      -      [16, 25, 25]   
165_l5.gcn1.convs.1.Tanh_tanh                            -    [2, 8, 25, 25]   
166_l5.gcn1.convs.1.Conv2d_conv4            [8, 128, 1, 1]  [2, 128, 25, 25]   
167_l5.gcn1.convs.2.Conv2d_conv1             [64, 8, 1, 1]    [2, 8, 64, 25]   
168_l5.gcn1.convs.2.Conv2d_conv2             [64, 8, 1, 1]    [2, 8, 64, 25]   
169_l5.gcn1.convs.2.Conv2d_conv3           [64, 128, 1, 1]  [2, 128, 64, 25]   
170_l5.gcn1.convs.2.Softmax_softmax                      -      [16, 25, 25]   
171_l5.gcn1.convs.2.Tanh_tanh                            -    [2, 8, 25, 25]   
172_l5.gcn1.convs.2.Conv2d_conv4            [8, 128, 1, 1]  [2, 128, 25, 25]   
173_l5.gcn1.BatchNorm2d_bn                           [128]  [2, 128, 64, 25]   
174_l5.gcn1.down.Conv2d_0                  [64, 128, 1, 1]  [2, 128, 64, 25]   
175_l5.gcn1.down.BatchNorm2d_1                       [128]  [2, 128, 64, 25]   
176_l5.gcn1.ReLU_relu                                    -  [2, 128, 64, 25]   
177_l5.tcn1.branches.0.Conv2d_0            [128, 32, 1, 1]   [2, 32, 64, 25]   
178_l5.tcn1.branches.0.BatchNorm2d_1                  [32]   [2, 32, 64, 25]   
179_l5.tcn1.branches.0.ReLU_2                            -   [2, 32, 64, 25]   
