=================================================================================================
                                              Kernel Shape      Output Shape  \
301_l8.tcn1.branches.1.BatchNorm2d_1                  [64]   [2, 64, 32, 25]   
302_l8.tcn1.branches.1.ReLU_2                            -   [2, 64, 32, 25]   
303_l8.tcn1.branches.1.3.Conv2d_conv        [64, 64, 5, 1]   [2, 64, 16, 25]   
304_l8.tcn1.branches.1.3.BatchNorm2d_bn               [64]   [2, 64, 16, 25]   
305_l8.tcn1.branches.2.Conv2d_0            [256, 64, 1, 1]   [2, 64, 32, 25]   
306_l8.tcn1.branches.2.BatchNorm2d_1                  [64]   [2, 64, 32, 25]   
307_l8.tcn1.branches.2.ReLU_2                            -   [2, 64, 32, 25]   
308_l8.tcn1.branches.2.MaxPool2d_3                       -   [2, 64, 16, 25]   
309_l8.tcn1.branches.2.BatchNorm2d_4                  [64]   [2, 64, 16, 25]   
310_l8.tcn1.branches.3.Conv2d_0            [256, 64, 1, 1]   [2, 64, 16, 25]   
311_l8.tcn1.branches.3.BatchNorm2d_1                  [64]   [2, 64, 16, 25]   
312_l8.residual.Conv2d_conv               [128, 256, 1, 1]  [2, 256, 16, 25]   
313_l8.residual.BatchNorm2d_bn                       [256]  [2, 256, 16, 25]   
314_l8.ReLU_relu                                         -  [2, 256, 16, 25]   
315_l9.gcn1.convs.0.Conv2d_conv1           [256, 32, 1, 1]   [2, 32, 16, 25]   
316_l9.gcn1.convs.0.Conv2d_conv2           [256, 32, 1, 1]   [2, 32, 16, 25]   
317_l9.gcn1.convs.0.Conv2d_conv3          [256, 256, 1, 1]  [2, 256, 16, 25]   
318_l9.gcn1.convs.0.Softmax_softmax                      -      [64, 25, 25]   
319_l9.gcn1.convs.0.Tanh_tanh                            -   [2, 32, 25, 25]   
320_l9.gcn1.convs.0.Conv2d_conv4           [32, 256, 1, 1]  [2, 256, 25, 25]   
321_l9.gcn1.convs.1.Conv2d_conv1           [256, 32, 1, 1]   [2, 32, 16, 25]   
322_l9.gcn1.convs.1.Conv2d_conv2           [256, 32, 1, 1]   [2, 32, 16, 25]   
323_l9.gcn1.convs.1.Conv2d_conv3          [256, 256, 1, 1]  [2, 256, 16, 25]   
324_l9.gcn1.convs.1.Softmax_softmax                      -      [64, 25, 25]   
325_l9.gcn1.convs.1.Tanh_tanh                            -   [2, 32, 25, 25]   
326_l9.gcn1.convs.1.Conv2d_conv4           [32, 256, 1, 1]  [2, 256, 25, 25]   
327_l9.gcn1.convs.2.Conv2d_conv1           [256, 32, 1, 1]   [2, 32, 16, 25]   
328_l9.gcn1.convs.2.Conv2d_conv2           [256, 32, 1, 1]   [2, 32, 16, 25]   
329_l9.gcn1.convs.2.Conv2d_conv3          [256, 256, 1, 1]  [2, 256, 16, 25]   
330_l9.gcn1.convs.2.Softmax_softmax                      -      [64, 25, 25]   
331_l9.gcn1.convs.2.Tanh_tanh                            -   [2, 32, 25, 25]   
332_l9.gcn1.convs.2.Conv2d_conv4           [32, 256, 1, 1]  [2, 256, 25, 25]   
333_l9.gcn1.BatchNorm2d_bn                           [256]  [2, 256, 16, 25]   
334_l9.gcn1.ReLU_relu                                    -  [2, 256, 16, 25]   
335_l9.tcn1.branches.0.Conv2d_0            [256, 64, 1, 1]   [2, 64, 16, 25]   
336_l9.tcn1.branches.0.BatchNorm2d_1                  [64]   [2, 64, 16, 25]   
337_l9.tcn1.branches.0.ReLU_2                            -   [2, 64, 16, 25]   
338_l9.tcn1.branches.0.3.Conv2d_conv        [64, 64, 5, 1]   [2, 64, 16, 25]   
339_l9.tcn1.branches.0.3.BatchNorm2d_bn               [64]   [2, 64, 16, 25]   
340_l9.tcn1.branches.1.Conv2d_0            [256, 64, 1, 1]   [2, 64, 16, 25]   
341_l9.tcn1.branches.1.BatchNorm2d_1                  [64]   [2, 64, 16, 25]   
342_l9.tcn1.branches.1.ReLU_2                            -   [2, 64, 16, 25]   
343_l9.tcn1.branches.1.3.Conv2d_conv        [64, 64, 5, 1]   [2, 64, 16, 25]   
344_l9.tcn1.branches.1.3.BatchNorm2d_bn               [64]   [2, 64, 16, 25]   
345_l9.tcn1.branches.2.Conv2d_0            [256, 64, 1, 1]   [2, 64, 16, 25]   
346_l9.tcn1.branches.2.BatchNorm2d_1                  [64]   [2, 64, 16, 25]   
347_l9.tcn1.branches.2.ReLU_2                            -   [2, 64, 16, 25]   
348_l9.tcn1.branches.2.MaxPool2d_3                       -   [2, 64, 16, 25]   
349_l9.tcn1.branches.2.BatchNorm2d_4                  [64]   [2, 64, 16, 25]   
350_l9.tcn1.branches.3.Conv2d_0            [256, 64, 1, 1]   [2, 64, 16, 25]   
351_l9.tcn1.branches.3.BatchNorm2d_1                  [64]   [2, 64, 16, 25]   
352_l9.ReLU_relu                                         -  [2, 256, 16, 25]   
353_l10.gcn1.convs.0.Conv2d_conv1          [256, 32, 1, 1]   [2, 32, 16, 25]   
354_l10.gcn1.convs.0.Conv2d_conv2          [256, 32, 1, 1]   [2, 32, 16, 25]   
355_l10.gcn1.convs.0.Conv2d_conv3         [256, 256, 1, 1]  [2, 256, 16, 25]   
356_l10.gcn1.convs.0.Softmax_softmax                     -      [64, 25, 25]   
357_l10.gcn1.convs.0.Tanh_tanh                           -   [2, 32, 25, 25]   
358_l10.gcn1.convs.0.Conv2d_conv4          [32, 256, 1, 1]  [2, 256, 25, 25]   
359_l10.gcn1.convs.1.Conv2d_conv1          [256, 32, 1, 1]   [2, 32, 16, 25]   
360_l10.gcn1.convs.1.Conv2d_conv2          [256, 32, 1, 1]   [2, 32, 16, 25]   
361_l10.gcn1.convs.1.Conv2d_conv3         [256, 256, 1, 1]  [2, 256, 16, 25]   
362_l10.gcn1.convs.1.Softmax_softmax                     -      [64, 25, 25]   
363_l10.gcn1.convs.1.Tanh_tanh                           -   [2, 32, 25, 25]   
364_l10.gcn1.convs.1.Conv2d_conv4          [32, 256, 1, 1]  [2, 256, 25, 25]   
365_l10.gcn1.convs.2.Conv2d_conv1          [256, 32, 1, 1]   [2, 32, 16, 25]   
366_l10.gcn1.convs.2.Conv2d_conv2          [256, 32, 1, 1]   [2, 32, 16, 25]   
367_l10.gcn1.convs.2.Conv2d_conv3         [256, 256, 1, 1]  [2, 256, 16, 25]   
368_l10.gcn1.convs.2.Softmax_softmax                     -      [64, 25, 25]   
369_l10.gcn1.convs.2.Tanh_tanh                           -   [2, 32, 25, 25]   
370_l10.gcn1.convs.2.Conv2d_conv4          [32, 256, 1, 1]  [2, 256, 25, 25]   
371_l10.gcn1.BatchNorm2d_bn                          [256]  [2, 256, 16, 25]   
372_l10.gcn1.ReLU_relu                                   -  [2, 256, 16, 25]   
373_l10.tcn1.branches.0.Conv2d_0           [256, 64, 1, 1]   [2, 64, 16, 25]   
374_l10.tcn1.branches.0.BatchNorm2d_1                 [64]   [2, 64, 16, 25]   
375_l10.tcn1.branches.0.ReLU_2                           -   [2, 64, 16, 25]   
376_l10.tcn1.branches.0.3.Conv2d_conv       [64, 64, 5, 1]   [2, 64, 16, 25]   
377_l10.tcn1.branches.0.3.BatchNorm2d_bn              [64]   [2, 64, 16, 25]   
378_l10.tcn1.branches.1.Conv2d_0           [256, 64, 1, 1]   [2, 64, 16, 25]   
379_l10.tcn1.branches.1.BatchNorm2d_1                 [64]   [2, 64, 16, 25]   
380_l10.tcn1.branches.1.ReLU_2                           -   [2, 64, 16, 25]   
381_l10.tcn1.branches.1.3.Conv2d_conv       [64, 64, 5, 1]   [2, 64, 16, 25]   
382_l10.tcn1.branches.1.3.BatchNorm2d_bn              [64]   [2, 64, 16, 25]   
383_l10.tcn1.branches.2.Conv2d_0           [256, 64, 1, 1]   [2, 64, 16, 25]   
384_l10.tcn1.branches.2.BatchNorm2d_1                 [64]   [2, 64, 16, 25]   
385_l10.tcn1.branches.2.ReLU_2                           -   [2, 64, 16, 25]   
386_l10.tcn1.branches.2.MaxPool2d_3                      -   [2, 64, 16, 25]   
387_l10.tcn1.branches.2.BatchNorm2d_4                 [64]   [2, 64, 16, 25]   
388_l10.tcn1.branches.3.Conv2d_0           [256, 64, 1, 1]   [2, 64, 16, 25]   
389_l10.tcn1.branches.3.BatchNorm2d_1                 [64]   [2, 64, 16, 25]   
390_l10.ReLU_relu                                        -  [2, 256, 16, 25]   
391_fc                                           [256, 60]           [1, 60]   

                                           Params Mult-Adds  
Layer                                                        
0_data_bn                                   300.0     150.0  
1_l1.gcn1.convs.0.Conv2d_conv1               32.0     38.4k  
2_l1.gcn1.convs.0.Conv2d_conv2               32.0     38.4k  
3_l1.gcn1.convs.0.Conv2d_conv3              256.0    307.2k  
4_l1.gcn1.convs.0.Softmax_softmax               -         -  
5_l1.gcn1.convs.0.Tanh_tanh                     -         -  
6_l1.gcn1.convs.0.Conv2d_conv4              576.0    320.0k  
7_l1.gcn1.convs.1.Conv2d_conv1               32.0     38.4k  
8_l1.gcn1.convs.1.Conv2d_conv2               32.0     38.4k  
9_l1.gcn1.convs.1.Conv2d_conv3              256.0    307.2k  
10_l1.gcn1.convs.1.Softmax_softmax              -         -  
11_l1.gcn1.convs.1.Tanh_tanh                    -         -  
12_l1.gcn1.convs.1.Conv2d_conv4             576.0    320.0k  
13_l1.gcn1.convs.2.Conv2d_conv1              32.0     38.4k  
14_l1.gcn1.convs.2.Conv2d_conv2              32.0     38.4k  
15_l1.gcn1.convs.2.Conv2d_conv3             256.0    307.2k  
16_l1.gcn1.convs.2.Softmax_softmax              -         -  
17_l1.gcn1.convs.2.Tanh_tanh                    -         -  
18_l1.gcn1.convs.2.Conv2d_conv4             576.0    320.0k  
19_l1.gcn1.BatchNorm2d_bn                   128.0      64.0  
20_l1.gcn1.down.Conv2d_0                    256.0    307.2k  
21_l1.gcn1.down.BatchNorm2d_1               128.0      64.0  
22_l1.gcn1.ReLU_relu                            -         -  
23_l1.tcn1.branches.0.Conv2d_0              1.04k   1.6384M  
24_l1.tcn1.branches.0.BatchNorm2d_1          32.0      16.0  
25_l1.tcn1.branches.0.ReLU_2                    -         -  
26_l1.tcn1.branches.0.3.Conv2d_conv        1.296k    2.048M  
27_l1.tcn1.branches.0.3.BatchNorm2d_bn       32.0      16.0  
28_l1.tcn1.branches.1.Conv2d_0              1.04k   1.6384M  
29_l1.tcn1.branches.1.BatchNorm2d_1          32.0      16.0  
30_l1.tcn1.branches.1.ReLU_2                    -         -  
31_l1.tcn1.branches.1.3.Conv2d_conv        1.296k    2.048M  
32_l1.tcn1.branches.1.3.BatchNorm2d_bn       32.0      16.0  
33_l1.tcn1.branches.2.Conv2d_0              1.04k   1.6384M  
34_l1.tcn1.branches.2.BatchNorm2d_1          32.0      16.0  
35_l1.tcn1.branches.2.ReLU_2                    -         -  
36_l1.tcn1.branches.2.MaxPool2d_3               -         -  
37_l1.tcn1.branches.2.BatchNorm2d_4          32.0      16.0  
38_l1.tcn1.branches.3.Conv2d_0              1.04k   1.6384M  
39_l1.tcn1.branches.3.BatchNorm2d_1          32.0      16.0  
40_l1.ReLU_relu                                 -         -  
41_l2.gcn1.convs.0.Conv2d_conv1             520.0    819.2k  
42_l2.gcn1.convs.0.Conv2d_conv2             520.0    819.2k  
43_l2.gcn1.convs.0.Conv2d_conv3             4.16k   6.5536M  
44_l2.gcn1.convs.0.Softmax_softmax              -         -  
45_l2.gcn1.convs.0.Tanh_tanh                    -         -  
46_l2.gcn1.convs.0.Conv2d_conv4             576.0    320.0k  
47_l2.gcn1.convs.1.Conv2d_conv1             520.0    819.2k  
48_l2.gcn1.convs.1.Conv2d_conv2             520.0    819.2k  
49_l2.gcn1.convs.1.Conv2d_conv3             4.16k   6.5536M  
50_l2.gcn1.convs.1.Softmax_softmax              -         -  
51_l2.gcn1.convs.1.Tanh_tanh                    -         -  
52_l2.gcn1.convs.1.Conv2d_conv4             576.0    320.0k  
53_l2.gcn1.convs.2.Conv2d_conv1             520.0    819.2k  
54_l2.gcn1.convs.2.Conv2d_conv2             520.0    819.2k  
55_l2.gcn1.convs.2.Conv2d_conv3             4.16k   6.5536M  
56_l2.gcn1.convs.2.Softmax_softmax              -         -  
57_l2.gcn1.convs.2.Tanh_tanh                    -         -  
58_l2.gcn1.convs.2.Conv2d_conv4             576.0    320.0k  
59_l2.gcn1.BatchNorm2d_bn                   128.0      64.0  
60_l2.gcn1.ReLU_relu                            -         -  
61_l2.tcn1.branches.0.Conv2d_0              1.04k   1.6384M  
62_l2.tcn1.branches.0.BatchNorm2d_1          32.0      16.0  
63_l2.tcn1.branches.0.ReLU_2                    -         -  
64_l2.tcn1.branches.0.3.Conv2d_conv        1.296k    2.048M  
65_l2.tcn1.branches.0.3.BatchNorm2d_bn       32.0      16.0  
66_l2.tcn1.branches.1.Conv2d_0              1.04k   1.6384M  
67_l2.tcn1.branches.1.BatchNorm2d_1          32.0      16.0  
68_l2.tcn1.branches.1.ReLU_2                    -         -  
69_l2.tcn1.branches.1.3.Conv2d_conv        1.296k    2.048M  
70_l2.tcn1.branches.1.3.BatchNorm2d_bn       32.0      16.0  
71_l2.tcn1.branches.2.Conv2d_0              1.04k   1.6384M  
72_l2.tcn1.branches.2.BatchNorm2d_1          32.0      16.0  
73_l2.tcn1.branches.2.ReLU_2                    -         -  
74_l2.tcn1.branches.2.MaxPool2d_3               -         -  
75_l2.tcn1.branches.2.BatchNorm2d_4          32.0      16.0  
76_l2.tcn1.branches.3.Conv2d_0              1.04k   1.6384M  
77_l2.tcn1.branches.3.BatchNorm2d_1          32.0      16.0  
78_l2.ReLU_relu                                 -         -  
79_l3.gcn1.convs.0.Conv2d_conv1             520.0    819.2k  
80_l3.gcn1.convs.0.Conv2d_conv2             520.0    819.2k  
81_l3.gcn1.convs.0.Conv2d_conv3             4.16k   6.5536M  
82_l3.gcn1.convs.0.Softmax_softmax              -         -  
83_l3.gcn1.convs.0.Tanh_tanh                    -         -  
84_l3.gcn1.convs.0.Conv2d_conv4             576.0    320.0k  
85_l3.gcn1.convs.1.Conv2d_conv1             520.0    819.2k  
86_l3.gcn1.convs.1.Conv2d_conv2             520.0    819.2k  
87_l3.gcn1.convs.1.Conv2d_conv3             4.16k   6.5536M  
88_l3.gcn1.convs.1.Softmax_softmax              -         -  
89_l3.gcn1.convs.1.Tanh_tanh                    -         -  
90_l3.gcn1.convs.1.Conv2d_conv4             576.0    320.0k  
91_l3.gcn1.convs.2.Conv2d_conv1             520.0    819.2k  
92_l3.gcn1.convs.2.Conv2d_conv2             520.0    819.2k  
93_l3.gcn1.convs.2.Conv2d_conv3             4.16k   6.5536M  
94_l3.gcn1.convs.2.Softmax_softmax              -         -  
95_l3.gcn1.convs.2.Tanh_tanh                    -         -  
96_l3.gcn1.convs.2.Conv2d_conv4             576.0    320.0k  
97_l3.gcn1.BatchNorm2d_bn                   128.0      64.0  
98_l3.gcn1.ReLU_relu                            -         -  
99_l3.tcn1.branches.0.Conv2d_0              1.04k   1.6384M  
100_l3.tcn1.branches.0.BatchNorm2d_1         32.0      16.0  
101_l3.tcn1.branches.0.ReLU_2                   -         -  
102_l3.tcn1.branches.0.3.Conv2d_conv       1.296k    2.048M  
103_l3.tcn1.branches.0.3.BatchNorm2d_bn      32.0      16.0  
104_l3.tcn1.branches.1.Conv2d_0             1.04k   1.6384M  
105_l3.tcn1.branches.1.BatchNorm2d_1         32.0      16.0  
106_l3.tcn1.branches.1.ReLU_2                   -         -  
107_l3.tcn1.branches.1.3.Conv2d_conv       1.296k    2.048M  
108_l3.tcn1.branches.1.3.BatchNorm2d_bn      32.0      16.0  
109_l3.tcn1.branches.2.Conv2d_0             1.04k   1.6384M  
110_l3.tcn1.branches.2.BatchNorm2d_1         32.0      16.0  
111_l3.tcn1.branches.2.ReLU_2                   -         -  
112_l3.tcn1.branches.2.MaxPool2d_3              -         -  
113_l3.tcn1.branches.2.BatchNorm2d_4         32.0      16.0  
114_l3.tcn1.branches.3.Conv2d_0             1.04k   1.6384M  
115_l3.tcn1.branches.3.BatchNorm2d_1         32.0      16.0  
116_l3.ReLU_relu                                -         -  
117_l4.gcn1.convs.0.Conv2d_conv1            520.0    819.2k  
118_l4.gcn1.convs.0.Conv2d_conv2            520.0    819.2k  
119_l4.gcn1.convs.0.Conv2d_conv3            4.16k   6.5536M  
120_l4.gcn1.convs.0.Softmax_softmax             -         -  
121_l4.gcn1.convs.0.Tanh_tanh                   -         -  
122_l4.gcn1.convs.0.Conv2d_conv4            576.0    320.0k  
123_l4.gcn1.convs.1.Conv2d_conv1            520.0    819.2k  
124_l4.gcn1.convs.1.Conv2d_conv2            520.0    819.2k  
125_l4.gcn1.convs.1.Conv2d_conv3            4.16k   6.5536M  
126_l4.gcn1.convs.1.Softmax_softmax             -         -  
127_l4.gcn1.convs.1.Tanh_tanh                   -         -  
128_l4.gcn1.convs.1.Conv2d_conv4            576.0    320.0k  
129_l4.gcn1.convs.2.Conv2d_conv1            520.0    819.2k  
130_l4.gcn1.convs.2.Conv2d_conv2            520.0    819.2k  
131_l4.gcn1.convs.2.Conv2d_conv3            4.16k   6.5536M  
132_l4.gcn1.convs.2.Softmax_softmax             -         -  
133_l4.gcn1.convs.2.Tanh_tanh                   -         -  
134_l4.gcn1.convs.2.Conv2d_conv4            576.0    320.0k  
135_l4.gcn1.BatchNorm2d_bn                  128.0      64.0  
136_l4.gcn1.ReLU_relu                           -         -  
137_l4.tcn1.branches.0.Conv2d_0             1.04k   1.6384M  
138_l4.tcn1.branches.0.BatchNorm2d_1         32.0      16.0  
139_l4.tcn1.branches.0.ReLU_2                   -         -  
140_l4.tcn1.branches.0.3.Conv2d_conv       1.296k    2.048M  
141_l4.tcn1.branches.0.3.BatchNorm2d_bn      32.0      16.0  
142_l4.tcn1.branches.1.Conv2d_0             1.04k   1.6384M  
143_l4.tcn1.branches.1.BatchNorm2d_1         32.0      16.0  
144_l4.tcn1.branches.1.ReLU_2                   -         -  
145_l4.tcn1.branches.1.3.Conv2d_conv       1.296k    2.048M  
146_l4.tcn1.branches.1.3.BatchNorm2d_bn      32.0      16.0  
147_l4.tcn1.branches.2.Conv2d_0             1.04k   1.6384M  
148_l4.tcn1.branches.2.BatchNorm2d_1         32.0      16.0  
149_l4.tcn1.branches.2.ReLU_2                   -         -  
150_l4.tcn1.branches.2.MaxPool2d_3              -         -  
151_l4.tcn1.branches.2.BatchNorm2d_4         32.0      16.0  
152_l4.tcn1.branches.3.Conv2d_0             1.04k   1.6384M  
153_l4.tcn1.branches.3.BatchNorm2d_1         32.0      16.0  
154_l4.ReLU_relu                                -         -  
155_l5.gcn1.convs.0.Conv2d_conv1            520.0    819.2k  
156_l5.gcn1.convs.0.Conv2d_conv2            520.0    819.2k  
157_l5.gcn1.convs.0.Conv2d_conv3            8.32k  13.1072M  
158_l5.gcn1.convs.0.Softmax_softmax             -         -  
159_l5.gcn1.convs.0.Tanh_tanh                   -         -  
160_l5.gcn1.convs.0.Conv2d_conv4           1.152k    640.0k  
161_l5.gcn1.convs.1.Conv2d_conv1            520.0    819.2k  
162_l5.gcn1.convs.1.Conv2d_conv2            520.0    819.2k  
163_l5.gcn1.convs.1.Conv2d_conv3            8.32k  13.1072M  
164_l5.gcn1.convs.1.Softmax_softmax             -         -  
165_l5.gcn1.convs.1.Tanh_tanh                   -         -  
166_l5.gcn1.convs.1.Conv2d_conv4           1.152k    640.0k  
167_l5.gcn1.convs.2.Conv2d_conv1            520.0    819.2k  
168_l5.gcn1.convs.2.Conv2d_conv2            520.0    819.2k  
169_l5.gcn1.convs.2.Conv2d_conv3            8.32k  13.1072M  
170_l5.gcn1.convs.2.Softmax_softmax             -         -  
171_l5.gcn1.convs.2.Tanh_tanh                   -         -  
172_l5.gcn1.convs.2.Conv2d_conv4           1.152k    640.0k  
173_l5.gcn1.BatchNorm2d_bn                  256.0     128.0  
174_l5.gcn1.down.Conv2d_0                   8.32k  13.1072M  
175_l5.gcn1.down.BatchNorm2d_1              256.0     128.0  
176_l5.gcn1.ReLU_relu                           -         -  
177_l5.tcn1.branches.0.Conv2d_0            4.128k   6.5536M  
178_l5.tcn1.branches.0.BatchNorm2d_1         64.0      32.0  
179_l5.tcn1.branches.0.ReLU_2                   -         -  
180_l5.tcn1.branches.0.3.Conv2d_conv       5.152k    4.096M  
181_l5.tcn1.branches.0.3.BatchNorm2d_bn      64.0      32.0  
182_l5.tcn1.branches.1.Conv2d_0            4.128k   6.5536M  
183_l5.tcn1.branches.1.BatchNorm2d_1         64.0      32.0  
184_l5.tcn1.branches.1.ReLU_2                   -         -  
185_l5.tcn1.branches.1.3.Conv2d_conv       5.152k    4.096M  
186_l5.tcn1.branches.1.3.BatchNorm2d_bn      64.0      32.0  
187_l5.tcn1.branches.2.Conv2d_0            4.128k   6.5536M  
188_l5.tcn1.branches.2.BatchNorm2d_1         64.0      32.0  
189_l5.tcn1.branches.2.ReLU_2                   -         -  
190_l5.tcn1.branches.2.MaxPool2d_3              -         -  
191_l5.tcn1.branches.2.BatchNorm2d_4         64.0      32.0  
192_l5.tcn1.branches.3.Conv2d_0            4.128k   3.2768M  
193_l5.tcn1.branches.3.BatchNorm2d_1         64.0      32.0  
194_l5.residual.Conv2d_conv                 8.32k   6.5536M  
195_l5.residual.BatchNorm2d_bn              256.0     128.0  
196_l5.ReLU_relu                                -         -  
197_l6.gcn1.convs.0.Conv2d_conv1           2.064k   1.6384M  
198_l6.gcn1.convs.0.Conv2d_conv2           2.064k   1.6384M  
199_l6.gcn1.convs.0.Conv2d_conv3          16.512k  13.1072M  
200_l6.gcn1.convs.0.Softmax_softmax             -         -  
201_l6.gcn1.convs.0.Tanh_tanh                   -         -  
202_l6.gcn1.convs.0.Conv2d_conv4           2.176k     1.28M  
203_l6.gcn1.convs.1.Conv2d_conv1           2.064k   1.6384M  
204_l6.gcn1.convs.1.Conv2d_conv2           2.064k   1.6384M  
205_l6.gcn1.convs.1.Conv2d_conv3          16.512k  13.1072M  
206_l6.gcn1.convs.1.Softmax_softmax             -         -  
207_l6.gcn1.convs.1.Tanh_tanh                   -         -  
208_l6.gcn1.convs.1.Conv2d_conv4           2.176k     1.28M  
209_l6.gcn1.convs.2.Conv2d_conv1           2.064k   1.6384M  
210_l6.gcn1.convs.2.Conv2d_conv2           2.064k   1.6384M  
211_l6.gcn1.convs.2.Conv2d_conv3          16.512k  13.1072M  
212_l6.gcn1.convs.2.Softmax_softmax             -         -  
213_l6.gcn1.convs.2.Tanh_tanh                   -         -  
214_l6.gcn1.convs.2.Conv2d_conv4           2.176k     1.28M  
215_l6.gcn1.BatchNorm2d_bn                  256.0     128.0  
216_l6.gcn1.ReLU_relu                           -         -  
217_l6.tcn1.branches.0.Conv2d_0            4.128k   3.2768M  
218_l6.tcn1.branches.0.BatchNorm2d_1         64.0      32.0  
219_l6.tcn1.branches.0.ReLU_2                   -         -  
220_l6.tcn1.branches.0.3.Conv2d_conv       5.152k    4.096M  
221_l6.tcn1.branches.0.3.BatchNorm2d_bn      64.0      32.0  
222_l6.tcn1.branches.1.Conv2d_0            4.128k   3.2768M  
223_l6.tcn1.branches.1.BatchNorm2d_1         64.0      32.0  
224_l6.tcn1.branches.1.ReLU_2                   -         -  
225_l6.tcn1.branches.1.3.Conv2d_conv       5.152k    4.096M  
226_l6.tcn1.branches.1.3.BatchNorm2d_bn      64.0      32.0  
227_l6.tcn1.branches.2.Conv2d_0            4.128k   3.2768M  
228_l6.tcn1.branches.2.BatchNorm2d_1         64.0      32.0  
229_l6.tcn1.branches.2.ReLU_2                   -         -  
230_l6.tcn1.branches.2.MaxPool2d_3              -         -  
231_l6.tcn1.branches.2.BatchNorm2d_4         64.0      32.0  
232_l6.tcn1.branches.3.Conv2d_0            4.128k   3.2768M  
233_l6.tcn1.branches.3.BatchNorm2d_1         64.0      32.0  
234_l6.ReLU_relu                                -         -  
235_l7.gcn1.convs.0.Conv2d_conv1           2.064k   1.6384M  
236_l7.gcn1.convs.0.Conv2d_conv2           2.064k   1.6384M  
237_l7.gcn1.convs.0.Conv2d_conv3          16.512k  13.1072M  
238_l7.gcn1.convs.0.Softmax_softmax             -         -  
239_l7.gcn1.convs.0.Tanh_tanh                   -         -  
240_l7.gcn1.convs.0.Conv2d_conv4           2.176k     1.28M  
241_l7.gcn1.convs.1.Conv2d_conv1           2.064k   1.6384M  
242_l7.gcn1.convs.1.Conv2d_conv2           2.064k   1.6384M  
243_l7.gcn1.convs.1.Conv2d_conv3          16.512k  13.1072M  
244_l7.gcn1.convs.1.Softmax_softmax             -         -  
245_l7.gcn1.convs.1.Tanh_tanh                   -         -  
246_l7.gcn1.convs.1.Conv2d_conv4           2.176k     1.28M  
247_l7.gcn1.convs.2.Conv2d_conv1           2.064k   1.6384M  
248_l7.gcn1.convs.2.Conv2d_conv2           2.064k   1.6384M  
249_l7.gcn1.convs.2.Conv2d_conv3          16.512k  13.1072M  
250_l7.gcn1.convs.2.Softmax_softmax             -         -  
251_l7.gcn1.convs.2.Tanh_tanh                   -         -  
252_l7.gcn1.convs.2.Conv2d_conv4           2.176k     1.28M  
253_l7.gcn1.BatchNorm2d_bn                  256.0     128.0  
254_l7.gcn1.ReLU_relu                           -         -  
255_l7.tcn1.branches.0.Conv2d_0            4.128k   3.2768M  
256_l7.tcn1.branches.0.BatchNorm2d_1         64.0      32.0  
257_l7.tcn1.branches.0.ReLU_2                   -         -  
258_l7.tcn1.branches.0.3.Conv2d_conv       5.152k    4.096M  
259_l7.tcn1.branches.0.3.BatchNorm2d_bn      64.0      32.0  
260_l7.tcn1.branches.1.Conv2d_0            4.128k   3.2768M  
261_l7.tcn1.branches.1.BatchNorm2d_1         64.0      32.0  
262_l7.tcn1.branches.1.ReLU_2                   -         -  
263_l7.tcn1.branches.1.3.Conv2d_conv       5.152k    4.096M  
264_l7.tcn1.branches.1.3.BatchNorm2d_bn      64.0      32.0  
265_l7.tcn1.branches.2.Conv2d_0            4.128k   3.2768M  
266_l7.tcn1.branches.2.BatchNorm2d_1         64.0      32.0  
267_l7.tcn1.branches.2.ReLU_2                   -         -  
268_l7.tcn1.branches.2.MaxPool2d_3              -         -  
269_l7.tcn1.branches.2.BatchNorm2d_4         64.0      32.0  
270_l7.tcn1.branches.3.Conv2d_0            4.128k   3.2768M  
271_l7.tcn1.branches.3.BatchNorm2d_1         64.0      32.0  
272_l7.ReLU_relu                                -         -  
273_l8.gcn1.convs.0.Conv2d_conv1           2.064k   1.6384M  
274_l8.gcn1.convs.0.Conv2d_conv2           2.064k   1.6384M  
275_l8.gcn1.convs.0.Conv2d_conv3          33.024k  26.2144M  
276_l8.gcn1.convs.0.Softmax_softmax             -         -  
277_l8.gcn1.convs.0.Tanh_tanh                   -         -  
278_l8.gcn1.convs.0.Conv2d_conv4           4.352k     2.56M  
279_l8.gcn1.convs.1.Conv2d_conv1           2.064k   1.6384M  
280_l8.gcn1.convs.1.Conv2d_conv2           2.064k   1.6384M  
281_l8.gcn1.convs.1.Conv2d_conv3          33.024k  26.2144M  
282_l8.gcn1.convs.1.Softmax_softmax             -         -  
283_l8.gcn1.convs.1.Tanh_tanh                   -         -  
284_l8.gcn1.convs.1.Conv2d_conv4           4.352k     2.56M  
285_l8.gcn1.convs.2.Conv2d_conv1           2.064k   1.6384M  
286_l8.gcn1.convs.2.Conv2d_conv2           2.064k   1.6384M  
287_l8.gcn1.convs.2.Conv2d_conv3          33.024k  26.2144M  
288_l8.gcn1.convs.2.Softmax_softmax             -         -  
289_l8.gcn1.convs.2.Tanh_tanh                   -         -  
290_l8.gcn1.convs.2.Conv2d_conv4           4.352k     2.56M  
291_l8.gcn1.BatchNorm2d_bn                  512.0     256.0  
292_l8.gcn1.down.Conv2d_0                 33.024k  26.2144M  
293_l8.gcn1.down.BatchNorm2d_1              512.0     256.0  
294_l8.gcn1.ReLU_relu                           -         -  
295_l8.tcn1.branches.0.Conv2d_0           16.448k  13.1072M  
